id,Linkin Nimi,Linkin Kuvaus,Linkin hallintaorg,UniqueNimi,Kieli,Kohde (Organisaatio),Url
299,Suomeen työhön -esite,Muutto Suomeen,Infopankki,Suomeen työhön -esite,fi,Työ- ja elinkeinoministeriö,https://www.te-palvelut.fi/documents/43002293/43009923/suomeen_ty%C3%B6h%C3%B6n_-_opas_suomesta_kiinnostuneille_ty%C3%B6ntekij%C3%B6ille_ja_yritt%C3%A4jille.pdf/f39be161-0741-0d27-b62c-e5356dbad3ef?t=1616532755870
300,Tietoa Pohjoismaiden kansalaisille,Muutto Suomeen,Infopankki,Tietoa Pohjoismaiden kansalaisille,fi,Norden.org,https://www.norden.org/fi
301,Vaalit Suomessa,Asettuminen Suomeen,Infopankki,Vaalit Suomessa,fi,Vaalit.fi,https://vaalit.fi/etusivu
306,Tervetuloa Suomeen -opas,Asettuminen Suomeen,Infopankki,Tervetuloa Suomeen -opas,fi,Työ- ja elinkeinoministeriö,https://julkaisut.valtioneuvosto.fi/bitstream/handle/10024/161191/TEMoppaat_16_2018_TervetuloaSuomeen_FI_PDFUA.pdf?sequence=1&isAllowed=y
308,Tietoa kotoutumisesta,Asettuminen Suomeen,Infopankki,Tietoa kotoutumisesta,fi,Työ- ja elinkeinoministeriö,https://www.te-palvelut.fi/fi/tyonhakijalle/tukea-tyollistymiseen/kotoutumispalvelut
309,Neuvontapalvelu Pohjoismaan kansalaisille,Muutto Suomeen,Infopankki,Neuvontapalvelu Pohjoismaan kansalaisille,fi,Norden.org,https://www.norden.org/fi/kysy-info-pohjolalta
312,EU-kansalaisen oleskeluoikeuden rekisteröinti,Muutto Suomeen,Infopankki,EU-kansalaisen oleskeluoikeuden rekisteröinti,fi,Maahanmuuttovirasto,https://migri.fi/oleskeluoikeuden-rekisterointi
313,Tulkkausta,Helsinki,Infopankki,Tulkkausta,fi,A-tulkkaus,https://tulka.com/fi/tulka-osti-a-tulkkauksen/
326,Suomeen muuttajan sosiaaliturva,Asettuminen Suomeen,Infopankki,Suomeen muuttajan sosiaaliturva,fi,Kela,https://www.kela.fi/ulkomailta-suomeen-pikaopas
327,Neuvontaa EU-kansalaisille,Muutto Suomeen,Infopankki,Neuvontaa EU-kansalaisille,fi,Europa.eu,https://europa.eu/european-union/contact/call-us_fi
330,Työnteko Suomessa,Muutto Suomeen,Infopankki,Työnteko Suomessa,fi,Maahanmuuttovirasto,https://migri.fi/tyoskentely-suomessa/hakemukset
331,Oleskeluluvan jatkaminen,Muutto Suomeen,Infopankki,Oleskeluluvan jatkaminen,fi,Maahanmuuttovirasto,https://migri.fi/jatkolupa
332,Työntekijän oleskelulupa,Muutto Suomeen,Infopankki,Työntekijän oleskelulupa,fi,Maahanmuuttovirasto,https://migri.fi/tyontekijan-oleskelulupa
333,Oleskelulupahakemuslomakkeet,Muutto Suomeen,Infopankki,Oleskelulupahakemuslomakkeet,fi,Maahanmuuttovirasto,https://migri.fi/oleskelulupahakemukset
334,Sähköinen asiointi,Muutto Suomeen,Infopankki,Sähköinen asiointi,fi,Maahanmuuttovirasto,https://enterfinland.fi/eServices/
