sivun_id;Kieli;Nimi valikossa;Kuvaus;URL;Dokumentin ID;Dokumentin nimi
843bd1ee-315e-4d39-8df8-50f2cbb058bb;fi;Asuminen Helsingissä;;fi/helsinki/elama-helsingissa/asuminen-helsingissa;1270;Asuminen Helsingissä 101
2f30b1e9-d25f-42fa-823f-86e048754b35;fi;Koulutus Helsingissä;;fi/helsinki/elama-helsingissa/koulutus-helsingissa;1283;Koulutus Helsingissä 101
04acff9f-55a2-4700-b420-aa7d06d37366;fi;Terveys Helsingissä;;fi/helsinki/elama-helsingissa/terveys-helsingissa;1284;Terveys Helsingissä 101
9cda207c-8f81-4854-8413-7b1794eb10b0;fi;Perhe Helsingissä;;fi/helsinki/elama-helsingissa/perhe-helsingissa;1282;Perhe Helsingissä 101
3b536289-bb54-4b4a-893d-e86fd1ff0405;fi;Ongelmatilanteet Helsingissä;;fi/helsinki/elama-helsingissa/ongelmatilanteet-helsingissa;7702;Ongelmatilanteet Helsingissä, uusi
5af36274-eda3-43c2-9e21-0d9ac9435ac4;fi;Vapaa-aika Helsingissä;;fi/helsinki/elama-helsingissa/vapaa-aika-helsingissa;1264;Vapaa-aika Helsingissä 101
22ac8409-17df-49ae-86ab-83d27e17165a;fi;Tietoa Helsingistä;;fi/helsinki/tietoa-helsingista;1262;Tietoa Helsingistä 101
76765a40-d997-4ad4-bf14-0b28aeca0dbb;fi;Espoo;;fi/espoo;;
91bde7d1-82fd-43c2-8748-264b3fbd054f;fi;Muutto Espooseen;;fi/espoo/muutto-espooseen;1286;Muutto Espooseen 101
0fe2bbad-e9f0-41c0-b626-7bcaa8121be0;fi;Elämä Espoossa;;fi/espoo/elama-espoossa;;
ab08128a-9302-4fb4-b3af-ca95b5613a20;fi;Asettuminen Espooseen;;fi/espoo/elama-espoossa/asettuminen-espooseen;1288;Maahanmuuttajana Espoossa 101
ce69b2e7-ae07-4f7c-82dc-fc33fd2b3858;fi;Työ ja yrittäjyys Espoossa;;fi/espoo/elama-espoossa/tyo-ja-yrittajyys-espoossa;1289;Työ ja yrittäjyys Espoossa 101
cd98652f-6ac4-41cd-a0db-b6a2e5bcdb37;fi;Suomen ja ruotsin kieli Espoossa;;fi/espoo/elama-espoossa/suomen-ja-ruotsin-kieli-espoossa;1290;Suomen ja ruotsin kieli Espoossa 101
01de4173-7e00-438f-9299-cc556bbe2867;fi;Asuminen Espoossa;;fi/espoo/elama-espoossa/asuminen-espoossa;1291;Asuminen Espoossa 101
6b98cb98-5e55-4025-9555-7c423b976979;fi;Koulutus Espoossa;;fi/espoo/elama-espoossa/koulutus-espoossa;1292;Koulutus Espoossa 101
79f958c2-c1aa-449e-b2d4-6e3021f156e2;fi;Terveys Espoossa;;fi/espoo/elama-espoossa/terveys-espoossa;1293;Terveys Espoossa 101
a2b63932-5ba7-4fbe-b3b9-47ae01e4818a;fi;Perhe Espoossa;;fi/espoo/elama-espoossa/perhe-espoossa;1294;Perhe Espoossa 101
b73964a8-5698-43ae-90c4-04d32e617716;fi;Ongelmatilanteet Espoossa;;fi/espoo/elama-espoossa/ongelmatilanteet-espoossa;1295;Ongelmatilanteet Espoossa 101
15a30394-ec03-43a4-9cbd-0838665668b7;fi;Vapaa-aika Espoossa;;fi/espoo/elama-espoossa/vapaa-aika-espoossa;1296;Vapaa-aika Espoossa 101
bc06509c-6faa-49dc-8457-9484dd7b40d0;fi;Tietoa Espoosta;;fi/espoo/tietoa-espoosta;1297;Tietoa Espoosta 101
b50a728a-f038-47e2-bef9-f58aad73eb74;fi;Vantaa;;fi/vantaa*;;
c20f70d0-dade-40e0-aacf-3917806aa8f2;fi;Muutto Vantaalle;;fi/vantaa/muutto-vantaalle;1265;Muutto Vantaalle 101
001ceceb-ab0e-4a7f-9f21-2c91452b628f;fi;Elämä Vantaalla;;fi/vantaa/elama-vantaalla;;
b598219d-b73d-443c-8d24-bd4901f899b6;fi;Asettuminen Vantaalle;;fi/vantaa/elama-vantaalla/asettuminen-vantaalle;1272;Maahanmuuttajana Vantaalla 101
5fc95a7e-79a6-4361-95f5-7a99b272729a;fi;Työ ja yrittäjyys Vantaalla;;fi/vantaa/elama-vantaalla/tyo-ja-yrittajyys-vantaalla;1273;Työ ja yrittäjyys Vantaalla 101
8eb30249-033d-4397-bf4c-ba4cc37499f6;fi;Suomen ja ruotsin kieli Vantaalla;;fi/vantaa/elama-vantaalla/suomen-ja-ruotsin-kieli-vantaalla;1274;Suomen ja ruotsin kieli Vantaalla 101
a0776c63-c863-491a-ab68-22c96bbad803;fi;Asuminen Vantaalla;;fi/vantaa/elama-vantaalla/asuminen-vantaalla;1275;Asuminen Vantaalla 101
009a551f-43c1-4653-816a-ad67eb4bbf66;fi;Koulutus Vantaalla;;fi/vantaa/elama-vantaalla/koulutus-vantaalla;1276;Koulutus Vantaalla 101
693a26fa-55f9-4a08-a34f-dde705477167;fi;Terveys Vantaalla;;fi/vantaa/elama-vantaalla/terveys-vantaalla;1277;Terveys Vantaalla 101
ffef7b6e-0b28-495b-90bf-aef78f9ce459;fi;Perhe Vantaalla;;fi/vantaa/elama-vantaalla/perhe-vantaalla;1278;Perhe Vantaalla 101
07647a36-0fbd-4b4d-af3a-65ad48b00cc7;fi;Ongelmatilanteet Vantaalla;;fi/vantaa/elama-vantaalla/ongelmatilanteet-vantaalla;1279;Ongelmatilanteet Vantaalla 101
ba399b5f-16bb-42e2-b11c-8dba0aa0a53d;fi;Vapaa-aika Vantaalla;;fi/vantaa/elama-vantaalla/vapaa-aika-vantaalla;1280;Vapaa-aika Vantaalla 101
724e92a4-3d8b-466f-8b78-0769ecfa3e70;fi;Tietoa Vantaasta;;fi/vantaa/tietoa-vantaasta;1281;Tietoa Vantaasta 101
3cf32436-2419-4478-8e98-254939dc97a7;fi;Kauniainen;;fi/kauniainen;;
930c1a77-7354-4405-be2e-dd3d6a4ef3ad;fi;Muutto Kauniaisiin;;fi/kauniainen/muutto-kauniaisiin;952;Muutto Kauniaisiin 101
981da5a4-6ce2-4e7d-955f-0e88559ffb42;fi;Elämä Kauniaisissa;;fi/kauniainen/elama-kauniaisissa;;
e86c232b-3bc5-4c99-a1d1-0e95573ae180;fi;Asettuminen Kauniaisiin;;fi/kauniainen/elama-kauniaisissa/asettuminen-kauniaisiin;953;Maahanmuuttajana Kauniaisissa 101
c3b2292f-e1a5-43c0-8ecc-86b41c776b57;fi;Työ ja yrittäjyys Kauniaisissa;;fi/kauniainen/elama-kauniaisissa/tyo-ja-yrittajyys-kauniaisissa;954;Työ ja yrittäjyys Kauniaisissa 101
76cbf233-55bc-49bf-9c4f-fadd43ae07a5;fi;Suomen ja ruotsin kieli Kauniaisissa;;fi/kauniainen/elama-kauniaisissa/suomen-ja-ruotsin-kieli-kauniaisissa;959;Suomen ja ruotsin kieli Kauniaisissa 101
cc0c9f1d-a877-423b-bbf4-ae0c2020fae3;fi;Asuminen Kauniaisissa;;fi/kauniainen/elama-kauniaisissa/asuminen-kauniaisissa;962;Asuminen Kauniaisissa 101
0a4461e5-38fd-4e4b-8576-3e1c12bd97f7;fi;Koulutus Kauniaisissa;;fi/kauniainen/elama-kauniaisissa/koulutus-kauniaisissa;963;Koulutus Kauniaisissa 101
378a93c6-5a1f-4eba-b5a4-f65d810cdfc3;fi;Terveys Kauniaisissa;;fi/kauniainen/elama-kauniaisissa/terveys-kauniaisissa;964;Terveys Kauniaisissa 101
5a80be63-b992-4607-bfc3-3a952f0adeaf;fi;Perhe Kauniaisissa;;fi/kauniainen/elama-kauniaisissa/perhe-kauniaisissa;965;Perhe Kauniaisissa 101
1830103c-6c1c-4238-82e7-cfce0b37cec5;fi;Ongelmatilanteet Kauniaisissa;;fi/kauniainen/elama-kauniaisissa/ongelmatilanteet-kauniaisissa;968;Ongelmatilanteet Kauniaisissa 101
41f48e24-df3d-4e0c-a77e-02f517a24ad2;fi;Vapaa-aika Kauniaisissa;;fi/kauniainen/elama-kauniaisissa/vapaa-aika-kauniaisissa;969;Vapaa-aika Kauniaisissa 101
428bcf0b-16a1-4d35-a9bf-e36a854e641d;fi;Tietoa Kauniaisista;;fi/kauniainen/tietoa-kauniaisista;970;Tietoa Kauniaisista 101
0a05dd04-b92d-4afb-afde-9a61b038402c;fi;Turku;;fi/turku;;
a45490a3-1df9-4795-8488-f6b9a0abf431;fi;Muutto Turkuun;;fi/turku/muutto-turkuun;999;Muutto Turkuun 101
b3a8c348-d147-4bc5-9c8d-a8799cb33350;fi;Elämä Turussa;;fi/turku/elama-turussa;;
190e1e86-65a3-46e9-aea0-334e4d119217;fi;Asettuminen Turkuun;;fi/turku/elama-turussa/asettuminen-turkuun;989;Maahanmuuttajana Turussa 101
311c5fe3-ef47-4a6e-b901-4b246d25fca0;fi;Työ ja yrittäjyys Turussa;;fi/turku/elama-turussa/tyo-ja-yrittajyys-turussa;990;Työ ja yrittäjyys Turussa 101
f8833a9a-d60b-43af-944a-9e2a6eb95fc9;fi;Suomen ja ruotsin kieli Turussa;;fi/turku/elama-turussa/suomen-ja-ruotsin-kieli-turussa;991;Suomen ja ruotsin kieli Turussa 101
9965222a-cb6a-4059-875f-966f2326b2b3;fi;Asuminen Turussa;;fi/turku/elama-turussa/asuminen-turussa;992;Asuminen Turussa 101
fb7bbcc3-0fda-4a52-8908-f907f8f5fe64;fi;Koulutus Turussa;;fi/turku/elama-turussa/koulutus-turussa;993;Koulutus Turussa 101
a69591f5-a925-4a91-8833-4935159628c4;fi;Terveys Turussa;;fi/turku/elama-turussa/terveys-turussa;994;Terveys Turussa 101
fe2e380f-fb6f-43a9-8f5a-5960b1fcfc95;fi;Perhe Turussa;;fi/turku/elama-turussa/perhe-turussa;995;Perhe Turussa 101
00e089b1-525c-4fc6-8f81-ab05ad6bc1a2;fi;Ongelmatilanteet Turussa;;fi/turku/elama-turussa/ongelmatilanteet-turussa;996;Ongelmatilanteet Turussa 101
f7d4e9d9-521c-4239-be9e-894f2ce54fee;fi;Vapaa-aika Turussa;;fi/turku/elama-turussa/vapaa-aika-turussa;997;Vapaa-aika Turussa 101
4cc76399-6709-449b-94b8-15752740d3a2;fi;Tietoa Turusta;;fi/turku/tietoa-turusta;998;Tietoa Turusta 101
93748f03-8254-4732-b4d1-18dcd00ce004;fi;Tampere;;fi/tampere;;
64d44733-7c54-48ab-b0b9-f8f0dee102e5;fi;Muutto Tampereelle;;fi/tampere/muutto-tampereelle;1000;Muutto Tampereelle 101
32eaeae0-52dc-420b-80b8-d87ea50c88ab;fi;Elämä Tampereella;;fi/tampere/elama-tampereella;;
6673a511-9ed6-49c2-95e1-1d35b2fb8aee;fi;Asettuminen Tampereelle;;fi/tampere/elama-tampereella/asettuminen-tampereelle;1001;Maahanmuuttajana Tampereella 101
adcebb6e-6da2-4f7a-9af6-6a9dc879617d;fi;Työ ja yrittäjyys Tampereella;;fi/tampere/elama-tampereella/tyo-ja-yrittajyys-tampereella;1002;Työ ja yrittäjyys Tampereella 101
9254f096-351d-46fc-b80b-21f8008097b5;fi;Suomen ja ruotsin kieli Tampereella;;fi/tampere/elama-tampereella/suomen-ja-ruotsin-kieli-tampereella;1003;Suomen ja ruotsin kieli Tampereella 101
2004c540-a6ab-46be-baee-d2a94c2a56fe;fi;Asuminen Tampereella;;fi/tampere/elama-tampereella/asuminen-tampereella;1004;Asuminen Tampereella 101
578c6f33-efa6-4f31-a063-b10cf0ab4144;fi;Koulutus Tampereella;;fi/tampere/elama-tampereella/koulutus-tampereella;1005;Koulutus Tampereella 101
3716da5a-628d-489f-97e2-2a0759f66b78;fi;Terveys Tampereella;;fi/tampere/elama-tampereella/terveys-tampereella;1006;Terveys Tampereella 101
85edbd71-06f3-4ba8-b3e4-70520db67eb0;fi;Perhe Tampereella;;fi/tampere/elama-tampereella/perhe-tampereella;1007;Perhe Tampereella 101
43ad3129-fb5b-4bd0-9c9d-1311a034b101;fi;Ongelmatilanteet Tampereella;;fi/tampere/elama-tampereella/ongelmatilanteet-tampereella;1008;Ongelmatilanteet Tampereella 101
209ed2ef-17a5-404f-a4af-8f0b4275e476;fi;Vapaa-aika Tampereella;;fi/tampere/elama-tampereella/vapaa-aika-tampereella;1009;Vapaa-aika Tampereella 101
b60d19f6-e192-4035-80f9-b9d366613375;fi;Tietoa Tampereesta;;fi/tampere/tietoa-tampereesta;1010;Tietoa Tampereesta 101
d559163c-89c5-45c0-9087-7707f9a37cd1;fi;Vaasa;;fi/vaasa;;
f0c36de9-4ab7-4cdb-801a-da8a9fd601ba;fi;Muutto Vaasaan;;fi/vaasa/muutto-vaasaan;8177;Muutto Vaasaan
ebe628a2-d4c9-431a-a396-9c84f5805ede;fi;Elämä Vaasassa;;fi/vaasa/elama-vaasassa;;
6d7dcf87-6366-46c9-87e3-035f6dc78bae;fi;Asettuminen Vaasaan;;fi/vaasa/elama-vaasassa/asettuminen-vaasaan;8178;Asettuminen Vaasaan
f1f2c82d-776d-453d-abc3-ed12407dd9df;fi;Työ ja yrittäjyys Vaasassa;;fi/vaasa/elama-vaasassa/tyo-ja-yrittajyys-vaasassa;8179;Työ ja yrittäjyys Vaasassa
5cacd26d-b497-43ea-9bc6-b961e9529956;fi;Suomen ja ruotsin kieli Vaasassa;;fi/vaasa/elama-vaasassa/suomen-ja-ruotsin-kieli-vaasassa;8180;Suomen ja ruotsin kieli Vaasassa
31bb9ff2-e81c-46d1-aaa6-f30492afd121;fi;Asuminen Vaasassa;;fi/vaasa/elama-vaasassa/asuminen-vaasassa;8181;Asuminen Vaasassa
361d50b1-68dc-4dab-9b0b-6026cb587513;fi;Koulutus Vaasassa;;fi/vaasa/elama-vaasassa/koulutus-vaasassa;8182;Koulutus Vaasassa
fa40cc0c-caae-497f-bbbd-6eca60ff423f;fi;Terveys Vaasassa;;fi/vaasa/elama-vaasassa/terveys-vaasassa;8183;Terveys Vaasassa
ae246a1e-2212-4721-9458-d7c5b3dae373;fi;Perhe Vaasassa;;fi/vaasa/elama-vaasassa/perhe-vaasassa;8184;Perhe Vaasassa
0d26cd30-e83d-4756-84c3-fc813318f5a4;fi;Ongelmatilanteet Vaasassa;;fi/vaasa/elama-vaasassa/ongelmatilanteet-vaasassa;8185;Ongelmatilanteet Vaasassa
05a5ef85-d450-4957-955c-d4824c91e4ae;fi;Vapaa-aika Vaasassa;;fi/vaasa/elama-vaasassa/vapaa-aika-vaasassa;8186;Vapaa-aika Vaasassa
