sivun_id;Kieli;Nimi valikossa;Kuvaus;URL;Dokumentin ID;Dokumentin nimi
d11ca985-c4a6-4563-b503-2da7f6d76cd0;en;If you fall ill;Work|Sick leave|Daily sickness allowances;en/living-in-finland/work-and-enterprise/employee-s-rights-and-obligations/if-you-fall-ill;2317;Jos sairastut  101 (en)
99d1fca0-1679-4c26-be62-f4d1758f3a0e;en;Family leave;Work|Family leaves|Maternity leave|Paternity leave|Parental leave;en/living-in-finland/work-and-enterprise/employee-s-rights-and-obligations/family-leave;2331;Perhevapaat 101 (en)
dd51bd76-8192-4e6b-905c-366d1873c531;en;Certificate of employment;Work|Certificates of employment;en/living-in-finland/work-and-enterprise/employee-s-rights-and-obligations/testimonial-of-service;2345;Työtodistus 101 (en)
0cf90abc-1be1-410e-8fb1-81027ef34af4;en;Problems in working life;Work|Working life|Workplace bullying|Discrimination|Underpayment|Human trafficking;en/living-in-finland/work-and-enterprise/problems-in-working-life;7961;Työelämän ongelmat 101 (en)
739c3f93-fc36-4503-aaa7-34a85c8a6614;en;Starting a business in Finland;Work|Starting a business|Start-up|Entrepreneurship|Business idea;en/living-in-finland/work-and-enterprise/starting-a-business;8045;Yrityksen perustaminen Suomessa 101 (en)
74168a1c-3541-45f5-b672-d3b4d68f24ab;en;Company forms;Work|Company forms;en/living-in-finland/work-and-enterprise/starting-a-business/company-forms;2065;Yritysmuodot 101 (en)
3a2965b2-77c1-4eab-acff-99215267ab6f;en;Obligations of the entrepreneur;Work|Start-up notification|Notification to Trade Register|Business licences|Insurances|Company taxation;en/living-in-finland/work-and-enterprise/information-for-entrepreneurs/obligations-of-the-entrepreneur;2079;Yrittäjän velvollisuudet 101 (en)
a5f754d8-2ecc-4450-8d2e-5441b9c00660;en;Entrepreneur’s social security;Work|Business counselling|Entrepreneurs' organisations|Unemployment benefit|Daily sickness allowances;en/living-in-finland/work-and-enterprise/information-for-entrepreneurs/support-for-the-entrepreneur;2121;Tukea yrittäjälle 101 (en)
41101935-877b-4cb1-a767-fdaf29f5cf90;en;Taxation;Work|Tax|Taxation of persons;en/living-in-finland/work-and-enterprise/taxation;7621;Verotus (en)
cb7e978a-81de-4b94-89f8-5492c3113a0f;en;Tax card ;Work|Tax|Tax cards;en/living-in-finland/work-and-enterprise/taxation/tax-card;7599;Verokortti (en)
c5c4ae84-b8d1-4a6e-a09c-bc184a09838a;en;Tax return and tax decision;Work|Tax|Tax returns|Tax proposals;en/living-in-finland/work-and-enterprise/taxation/tax-return-and-tax-decision;7610;Veroilmoitus ja verotuspäätös (en)
1896a12c-9d6d-44ef-86ed-00b64ae94a45;en;Employer’s rights and obligations;Work|Employer obligations;en/living-in-finland/work-and-enterprise/employer-s-rights-and-obligations;2415;Työnantajan oikeudet ja velvollisuudet 101 (en)
60c55ebc-169d-49be-9a47-0c3eb468537a;en;If you become unemployed;Work|Unemployment|Employment services|Employment and Economic Development Office|Jobseekers;en/living-in-finland/work-and-enterprise/unemployment-benefit/if-you-become-unemployed;2499;Jos jäät työttömäksi 101 (en)
ac76702e-eb62-4e0d-a07d-3fc0a999c402;en;Unemployment benefit;Work|Unemployment|Social benefits|Unemployment benefit|Labour market subsidy|Unemployment benefit societies|Unemployment fund;en/living-in-finland/work-and-enterprise/unemployment-benefit;2471;Työttömyysturva 101 (en)
cd09e6fa-161c-46c8-8bb1-bd0086e8ef0d;en;Pension;Work|Pensions|Social benefits;en/living-in-finland/work-and-enterprise/pension;2513;Eläke 101 (en)
0e36a59b-8475-448c-a63f-5e2e414b40e0;en;Finnish working culture;Work|Work culture;en/living-in-finland/work-and-enterprise/finnish-working-culture;2527;Suomalainen työkulttuuri 101 (en)
ba7d8fb9-3189-4663-8773-e4bdfbdd2d41;en;Everyday life at the workplace;Work|Work culture|Annual holidays|Working hours ;en/living-in-finland/work-and-enterprise/finnish-working-culture/everyday-life-at-the-workplace;2541;Työpaikan arki 101 (en)
e836948e-450f-432f-bcff-84792263f5ab;en;Finnish and Swedish;Why should I study Finnish or Swedish?| Language course levels | Finnish online | Official certificate of language proficiency | Information about Finnish and Swedish;en/living-in-finland/finnish-and-swedish;;
4891bf6c-79de-464f-b9cf-ac0001403f97;en;Why should I study Finnish or Swedish?;Finnish language|Studying Finnish;en/living-in-finland/finnish-and-swedish/why-should-i-study-finnish-or-swedish;2611;Miksi opiskelisin suomea tai ruotsia? 101 (en)
3b0ae704-0272-4bca-b9ac-39b079e924e4;en;Studying Finnish;Finnish language|Finnish as a second language teaching|Studying Finnish;en/living-in-finland/finnish-and-swedish/studying-finnish;2737;Mahdollisuuksia opiskella suomen tai ruotsin kieltä 101 (en)
3ecfd02d-f336-451e-a001-96f0c4232dd2;en;Language course levels;Finnish language|Language courses;en/living-in-finland/finnish-and-swedish/language-course-levels;2863;Kielikurssien tasot 101 (en)
efe033a4-f8c4-4d6f-b6ed-6a4f9050b2f5;en;Finnish online;Finnish language|Online courses;en/living-in-finland/finnish-and-swedish/finnish-online;2891;Suomen kieltä internetissä 101 (en)
2f451df1-bcfe-4cae-a205-4b50f98830f9;en;Official certificate of language proficiency;Finnish language;en/living-in-finland/finnish-and-swedish/official-certificate-of-language-proficiency;2905;Virallinen todistus kielitaidosta 101 (en)
942c8187-4c57-4a60-958d-2bad78ac4891;en;Swedish language in Finland;Finnish language|Finland Swedish|Swedish language;en/living-in-finland/finnish-and-swedish/swedish-language-in-finland;7774;Ruotsin kieli Suomessa 101 (en)
22179172-fe81-4721-a9e4-cb44aa8a1238;en;Information about Finnish and Swedish;Finnish language|Swedish language;en/living-in-finland/finnish-and-swedish/information-about-finnish-and-swedish;2919;Tietoa suomen ja ruotsin kielestä 101 (en)
22de66d0-158f-49bd-a613-50c3b09778a7;en;Important sentences in Finnish;Finnish language;en/living-in-finland/finnish-and-swedish/important-sentences-in-finnish;2933;Joitakin hyödyllisiä lauseita 101 (en)
8cffc12a-9660-4263-93e0-450212635e09;en;Housing;Housing in Finland | Rental home | Buying a home | Housing allowance | Waste and recycling | Safety at home;en/living-in-finland/housing;;
ddfa21f6-b898-4ec8-875d-6d153b7a8018;en;Housing in Finland;;en/living-in-finland/housing/housing-in-finland;8066;Asuminen Suomessa (en)
d1ca06ed-f15f-4e0d-889b-7fcf3b7bef49;en;Moving House;;en/living-in-finland/housing/moving-house;1426;Kun muutat 101 (en)
6b4570e5-1d34-424e-ac02-82b2871c2bab;en;Rental home;;en/living-in-finland/housing/rental-dwelling;1454;Vuokra-asunto 101 (en)
ee7c5908-9b2e-4a06-a436-c349429f12fa;en;Tenancy agreement;;en/living-in-finland/housing/rental-dwelling/tenancy-agreement;2587;Vuokrasopimus 101 (en)
e319a48c-bbaf-4048-a086-48f01f0e4803;en;Buying a home;;en/living-in-finland/housing/owner-occupied-housing;1524;Oma asunto 101 (en)
22d5157d-64e2-4d36-b9c3-52e9d0fc97f1;en;Student housing;;en/living-in-finland/housing/rental-dwelling/student-housing;2601;Opiskelijan asuminen 101 (en)
7e9e747c-e862-4311-a09f-e065edf2e58e;en;Housing allowance;;en/living-in-finland/housing/housing-allowance;2139;Asumistuki 101 (en)
679d8671-85c8-40f3-b2bc-99254da39079;en;Rights and obligations of occupants;;en/living-in-finland/housing/rights-and-obligations-of-occupants;7859;Asukkaan oikeudet ja velvollisuudet (en)
f5ccea77-33e5-41c9-9cb4-dba7db231253;en;Safety at home;;en/living-in-finland/housing/safety-at-home;7790;Kodin turvallisuus (en)
5d545074-65d2-4c2d-9060-7eeca6dc8b28;en;Waste and recycling;;en/living-in-finland/housing/waste-management-and-recycling;2405;Jätehuolto ja kierrätys 101 (en)
dd48192b-40c8-431c-9bcf-96f574d4b8be;en;Supported and service housing;;en/living-in-finland/housing/supported-and-service-housing;1859;Tuki- ja palveluasuminen 101 (en)
23a782fc-72ce-4f28-9e20-f20b40260fb6;en;Housing problems;;en/living-in-finland/housing/housing-problems;7847;Asumisen ongelmat (en)
888ee5a3-a702-4db1-9f22-3e4c3ed5f219;en;Homelessness;;en/living-in-finland/housing/homelessness;7572;Asunnottomuus 101 (en)
7a87cbd3-9d3a-4841-af00-452302bcfca7;en;Education;Child education | Vocational education and training | Upper secondary school | Higher education | Applying for education and training | Financing your studies | Foreign students in Finland;en/living-in-finland/education;;
c841157f-210f-4837-9b53-02c9559400a0;en;The Finnish education system;Education|Education system;en/living-in-finland/education/the-finnish-education-system;7923;Suomalainen koulutusjärjestelmä (en)
4e6147f5-f397-4d63-9f8b-e8ab8a138100;en;Early childhood education;Education|Day care|Child care|Early childhood education and care;en/living-in-finland/education/child-education/day-care;2642;Päivähoito 101 (en)
d98f9a13-01e5-469e-8ed9-fbfb29eeab5b;en;Preschool education;Education|Pre-school education;en/living-in-finland/education/child-education/preschool-education;2656;Esiopetus 101 (en)
cb688e95-0731-4cad-9416-77a37e22eff8;en;Comprehensive education;Education|Basic education|Comprehensive school|Preparatory education  ;en/living-in-finland/education/child-education/comprehensive-education;2670;Perusopetus 101 (en)
87402287-7e3c-4741-bf08-bc7a2e96f20e;en;Vocational education and training;Education|Secondary education|Vocational education|Vocational training;en/living-in-finland/education/after-comprehensive-school/vocational-education-and-training;2810;Ammatillinen koulutus 101 (en)
d7aa319d-17f8-4437-8a1b-be8c4ca65cd2;en;Upper secondary school;Education|Secondary education|General upper secondary school;en/living-in-finland/education/after-comprehensive-school/upper-secondary-school;2754;Lukio 101 (en)
fa4a8c78-17dc-4f78-a511-c9e3e69b0a6b;en;Universities of applied sciences;Education|Tertiary education|Polytechnics|Polytechnic education|University of applied sciences degree;en/living-in-finland/education/higher-education/universities-of-applied-sciences;2978;Ammattikorkeakoulut 101 (en)
9c707cef-b39e-49bd-8204-dd9b93ba5793;en;Universities;Education|Tertiary education|Universities;en/living-in-finland/education/higher-education/universities;2964;Yliopistot 101 (en)
d81811d8-aff3-4170-85c4-7c1c86314825;en;Applying for education and training;Education|Secondary education|Tertiary education|Polytechnics|Universities|Vocational institutions|General upper secondary school ;en/living-in-finland/education/joint-application-and-entrance-exams;3006;Yhteishaku ja pääsykokeet 101 (en)
70583078-58a9-45d6-ac1c-1a72ec58821d;en;Vocational labour market training ;Education|Vocational labour market training;en/living-in-finland/education/other-study-opportunities/labour-market-training;3090;Työvoimakoulutus 101 (en)
c500f9e7-a3c6-49f6-a618-cdbdcbfab821;en;Studying as a hobby;Education|Hobbies|Open university|Open polytechnic|Folk high schools|Adult education centres;en/living-in-finland/education/other-study-opportunities/studying-as-a-hobby;3146;Opiskelu harrastuksena 101 (en)
26ed45da-0f77-40fd-a714-7b5c0f35bb54;en;Financing your studies;Education|Social benefits|Student financial aid|Scholarship|Grants;en/living-in-finland/education/financing-studies;3160;Opintojen rahoittaminen 101 (en)
17392c04-1b1e-47fe-810b-a8666e01b27b;en;Foreign students in Finland;Education|Foreign students|Exchange students;en/living-in-finland/education/foreign-students-in-finland;3188;Ulkomaalainen opiskelija Suomessa 101 (en)
c8be2561-dcfc-4d0f-906f-46ae25555e72;en;Foreign degrees in Finland;Education|Recognition of qualifications|Recognition of a degree|Foreign degrees;en/living-in-finland/education/foreign-degrees-in-finland;3202;Ulkomaiset tutkinnot Suomessa 101 (en)
b9efac23-56d4-4bb9-b4b9-32826b681df1;en;Health;Health services in Finland | Children’s health | Dental care | Mental health | Sexual health and contraception | Abortion | Pregnancy and childbirth | Medication | Support during illness | Rehabilitation | Disabled persons;en/living-in-finland/health;;
051d2641-ac24-4717-a6d8-a52a6c6fd1dd;en;Emergencies;;en/living-in-finland/health/emergencies;3479;Hätätilanteet 101 (en)
e2f5df02-fbba-4a4e-af1f-02710c151526;en;Health services in Finland;;en/living-in-finland/health/health-services-in-finland;3493;Terveyspalvelut Suomessa 101 (en)
78def7fa-90e0-4399-96aa-afe4385e27f2;en;Children’s health;;en/living-in-finland/health/children-s-health;3535;Lapsen terveys 101 (en)
3de8c50a-14bb-46a9-827a-141c38a90c6f;en;Dental care;;en/living-in-finland/health/dental-care;3843;Hammashoito 101 (en)
5e6fae60-a6e1-4b52-9263-568670a66436;en;Mental health;;en/living-in-finland/health/mental-health;3857;Mielenterveys 101 (en)
add611dc-6259-4145-ac9f-f6da503fb643;en;Sexual health and contraception;;en/living-in-finland/health/sexual-health;3885;Seksuaaliterveys 101 (en)
171def19-678a-41e0-a756-24a0f600aa3e;en;Abortion;;en/living-in-finland/health/abortion;3913;Abortti 101 (en)
34d94a9e-576e-4b07-a50a-a65ace7026ff;en;Pregnancy and childbirth;;en/living-in-finland/health/when-you-are-expecting-a-baby;3997;Kun odotat lasta 101 (en)
a932bc15-ae92-40b8-816d-421d06872fc7;en;Medication;;en/living-in-finland/health/medication;4179;Lääkkeet 101 (en)
94a436f1-779e-47fb-9165-43fd32d93ed4;en;Support during illness;;en/living-in-finland/health/support-during-illness;4193;Tukea sairauden aikana 101 (en)
50833c20-2f5f-47c5-b3a8-57992911f2f3;en;Rehabilitation;;en/living-in-finland/health/rehabilitation;4221;Kuntoutus 101 (en)
aebbaa81-124f-44ef-a389-504e4b7d7275;en;Disabled persons;;en/living-in-finland/health/disabled-persons;4235;Vammaiset 101 (en)
1c6561f4-b872-4085-b234-bb6b88a5320e;en;Services for disabled persons;;en/living-in-finland/health/disabled-persons/help-for-everyday-life;4249;Apua arkeen 101 (en)
8e2fd9ed-e2e3-42f6-9f99-d15a1a6d9b43;en;Financial support for disabled persons;;en/living-in-finland/health/disabled-persons/financial-support-for-disabled-persons;4263;Taloudellista tukea 101 (en)
ee8e1634-f71f-4f01-bb76-33b1fb0de6c4;en;Disabled child;;en/living-in-finland/health/disabled-persons/disabled-child;4305;Vammainen lapsi 101 (en)
7563d1e9-a9dc-4ca6-a7b0-5fff5935579f;en;Family;What is a family? | Marriage | Divorce | Common-law relationship | Terminating a common-law relationship | Children | Financial support for families | Taking care of a child | Elderly;en/living-in-finland/family;;
556cab51-1f10-4c03-8df6-fd01d4d00a87;en;What is a family?;Family|Rainbow families;en/living-in-finland/family/what-is-a-family;3021;Erilaisia perheitä 101 (en)
e97af33e-e780-4eff-921b-1ebdd61d314b;en;Single parent families;Family|Single parent|Single parent families|Child support;en/living-in-finland/family/different-kinds-of-families/single-parent-families;3035;Yhden vanhemman perhe 101 (en)
fbd67ab5-339d-41a9-96e4-9986fc5f4283;en;Marriage in Finland;Family|Marriage;en/living-in-finland/family/marriage;3231;Avioliitto 101 (en)
0366c2f0-57dd-4fb1-8286-0c0f0954c652;en;Getting married in Finland, a check list;Family|Marriage|Wedding|Marriage contract|Surname;en/living-in-finland/family/marriage/getting-married-in-finland-a-check-list;3245;Avioliiton solmiminen Suomessa, muistilista 101 (en)
cc7d8af9-af55-4330-98e4-8173640f87c0;en;Rights and obligations of spouses;;en/living-in-finland/family/marriage/being-married;3343;Elämä avioliitossa 101 (en)
926f3a40-c1f8-4d30-b13d-97339396765e;en;Divorce;Family|Divorce;en/living-in-finland/family/divorce;3357;Avioero 101 (en)
ca711f8c-acb7-469a-9d56-46d21141631e;en;Property in a divorce;Family|Divorce|Division of the property of the spouses;en/living-in-finland/family/divorce/property-in-a-divorce;3399;Omaisuus avioerossa 101 (en)
189c2799-71ae-456a-849b-88a65db4f118;en;Children in a divorce;Family|Divorce|Child support|Custody and visitation rights|Child abduction;en/living-in-finland/family/divorce/children-in-a-divorce;3413;Lapset avioerossa 101 (en)
a9c8a46b-27fb-444c-b08f-d9b015df86a0;en;Common-law relationship;Family|Common law marriage;en/living-in-finland/family/common-law-relationship;3427;Avoliitto 101 (en)
ad2e518f-c633-431a-bdc0-8c4bf624634e;en;Terminating a common-law relationship;Family|Common law marriage|Separation|Common law marriage divorce;en/living-in-finland/family/terminating-a-common-law-relationship;3581;Avoliiton päättyminen 101 (en)
59e7590a-61fb-4164-9f01-11af2853a1d4;en;Children;Family|Children;en/living-in-finland/family/children;3665;Lapset 101 (en)
9d619dcb-b8e5-4105-858b-77e796931837;en;When a child is born in Finland ;Family|Children|Childbirth|Establishment of paternity|Guardianship;en/living-in-finland/family/children/when-a-child-is-born-in-finland;3707;Muistilista lasta toivovalle 101 (en)
70e01e3d-6e97-4c53-8c9a-07ef24e0247f;en;Children’s and youths’ rights and obligations;Family|Children|Children's rights;en/living-in-finland/family/children/children-s-and-youths-rights-and-obligations;3763;Lasten ja nuorten oikeudet ja velvollisuudet 101 (en)
